ID,Status,IP,Mask,Mac Address,Name,Interface,Mode,Static Wireless IP (Configured),Default Gateway,Domain Name Servers,Wired Client,RTS Threshold,Speed,Channel,Channel List,Channel Width (MHz),Max Link Distance (Meter),Mesh Optimization Mode,Mesh Control Transmit Rate,Transmit Power Attenuation,Space-Time Block Coding (STBC),Short Guard Interval,IP Multicast,Monitor External Battery,Wired Interface MTU,Management Interface MTU,Layer 2 Emulation ,Backhaul Capacity (Mbps),Backhaul Check Enabled,Backhaul Check IP,Backhaul Check Failure Threshold,Backhaul Check Restore Threshold,Platform IR Port Status,Mesh Unicast Transmit Rate,Mesh Links to Upstream Routers,Mesh Links to Downstream Routers,Autonomous Gateway,AP Power Curve,Power Save Mode
"249956","/webclient/common/images/severity_clear.gif","10.1.1.254","24","00:0D:97:29:0C:96","Process-GW","eth0","static","10.1.1.254/24","10.1.1.1","10.1.1.1","","","auto","","",20,7000,"Capacity","","0 dB","Disabled","Enabled","Disabled","Disabled",1500,1500,"Disabled",30,"Disabled","",18,3,"","Auto","Enabled","Enabled","Disabled","Disabled",""
"249956","/webclient/common/images/severity_clear.gif","2.3.4.1","24","00:0D:97:29:0C:97","Process-GW","eth1","","192.168.109.254/24","10.1.1.1","10.1.1.1","","","auto","","",20,7000,"Capacity","","0 dB","Disabled","Enabled","Disabled","Disabled",1500,1500,"Disabled",30,"Disabled","",18,3,"","Auto","Enabled","Enabled","Disabled","Disabled",""
"249956","/webclient/common/images/severity_clear.gif","10.1.1.11","24","00:0D:97:0A:6A:54","Process-GW","wifista0","static","10.1.1.11/24","10.1.1.1","10.1.1.1","","2346","","6","1,6,11",40,7000,"Capacity","12 Mbps","0 dB","Enabled","Enabled","Disabled","Disabled",1500,1500,"Disabled",30,"Disabled","",18,3,"","Auto","Enabled","Enabled","Disabled","Disabled",""
"249956","/webclient/common/images/severity_clear.gif","10.1.1.12","24","00:0D:97:0A:65:46","Process-GW","wifista1","static","10.1.1.12/24","10.1.1.1","10.1.1.1","","2346","","149","149,153,157,161",40,7000,"Capacity","12 Mbps","0 dB","Enabled","Enabled","Disabled","Disabled",1500,1500,"Disabled",30,"Disabled","",18,3,"","Auto","Enabled","Enabled","Disabled","Disabled",""
"249955","/webclient/common/images/severity_clear.gif","192.168.109.252","24","00:0D:97:29:0C:93","Substation","eth1","static","192.168.109.252/24","10.1.1.1","","Enabled","","auto","","",20,7000,"Capacity","","0 dB","Disabled","Enabled","Disabled","Disabled",1500,1500,"Disabled",30,"","",,,"","Auto","Enabled","Enabled","Disabled","Disabled",""
"249955","/webclient/common/images/severity_clear.gif","10.1.1.15","24","00:0D:97:0A:6A:52","Substation","wifista0","static","10.1.1.15/24","10.1.1.1","","Enabled","2346","","6","1,6,11",40,4200,"Capacity","12 Mbps","0 dB","Enabled","Enabled","Disabled","Disabled",1500,1500,"Disabled",30,"","",,,"","Auto","Enabled","Enabled","Disabled","Disabled",""
"249955","/webclient/common/images/severity_clear.gif","10.1.1.16","24","00:0D:97:0A:65:47","Substation","wifista1","static","10.1.1.16/24","10.1.1.1","","Enabled","2346","","149","149,153,157,161",40,4200,"Capacity","12 Mbps","0 dB","Enabled","Enabled","Disabled","Disabled",1500,1500,"Disabled",30,"","",,,"","Auto","Enabled","Enabled","Disabled","Disabled",""
"249949","/webclient/common/images/severity_critical.gif","10.1.1.250","24","00:0D:97:29:0C:BF","Management","eth0","static","10.1.1.250/24","10.1.1.1","","Enabled","","auto","","",20,7000,"Capacity","","0 dB","Disabled","Enabled","Disabled","Disabled",1500,1500,"Disabled",30,"Disabled","",18,3,"","Auto","Enabled","Enabled","Disabled","",""
"249949","/webclient/common/images/severity_critical.gif","2.3.4.1","24","00:0D:97:29:0C:C0","Management","eth1","static","192.168.101.4/24","10.1.1.1","","Enabled","","auto","","",20,7000,"Capacity","","0 dB","Disabled","Enabled","Disabled","Disabled",1500,1500,"Disabled",30,"Disabled","",18,3,"","Auto","Enabled","Enabled","Disabled","",""
"249949","/webclient/common/images/severity_critical.gif","10.1.1.21","24","00:0D:97:0A:6A:69","Management","wifista0","static","10.1.1.21/24","10.1.1.1","","Enabled","2346","","6","1,6,11",40,7000,"Capacity","12 Mbps","0 dB","Enabled","Enabled","Disabled","Disabled",1500,1500,"Disabled",30,"Disabled","",18,3,"","Auto","Enabled","Enabled","Disabled","",""
"249949","/webclient/common/images/severity_critical.gif","10.1.1.22","24","00:0D:97:00:DC:30","Management","wifista1","static","10.1.1.22/24","10.1.1.1","","Enabled","2346","","149","149,153,157,161",40,7000,"Capacity","12 Mbps","0 dB","Enabled","Enabled","Disabled","Disabled",1500,1500,"Disabled",30,"Disabled","",18,3,"","Auto","Enabled","Enabled","Disabled","",""
